<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.08.01	00:00:00	1.33872	1.33919	1.33845	1.33871	3193	0	2
2014.08.01	04:00:00	1.33873	1.33900	1.33822	1.33842	2475	0	1
2014.08.01	08:00:00	1.33842	1.33955	1.33781	1.33944	6959	0	2
2014.08.01	12:00:00	1.33945	1.34327	1.33848	1.34160	10895	0	1
2014.08.01	16:00:00	1.34100	1.34446	1.34073	1.34260	8672	0	1
2014.08.01	20:00:00	1.34260	1.34330	1.34166	1.34264	2811	0	1
2014.08.04	00:00:00	1.34271	1.34299	1.34171	1.34175	3073	0	6
2014.08.04	04:00:00	1.34174	1.34258	1.34174	1.34214	2711	0	6
2014.08.04	08:00:00	1.34214	1.34308	1.34161	1.34204	8077	0	6
2014.08.04	12:00:00	1.34204	1.34247	1.34156	1.34206	6952	0	6
2014.08.04	16:00:00	1.34206	1.34215	1.34091	1.34192	5825	0	6
2014.08.04	20:00:00	1.34193	1.34230	1.34172	1.34218	2646	0	6
2014.08.05	00:00:00	1.34217	1.34224	1.34146	1.34164	2248	0	6
2014.08.05	04:00:00	1.34164	1.34244	1.34156	1.34243	2593	0	6
2014.08.05	08:00:00	1.34244	1.34244	1.33884	1.33916	10198	0	6
2014.08.05	12:00:00	1.33917	1.33927	1.33764	1.33779	10743	0	6
2014.08.05	16:00:00	1.33780	1.33780	1.33580	1.33658	12353	0	6
2014.08.05	20:00:00	1.33657	1.33775	1.33655	1.33712	4450	0	6
2014.08.06	00:00:00	1.33712	1.33725	1.33599	1.33648	3087	0	6
2014.08.06	04:00:00	1.33648	1.33712	1.33637	1.33639	3112	0	6
2014.08.06	08:00:00	1.33645	1.33743	1.33492	1.33584	12962	0	6
2014.08.06	12:00:00	1.33583	1.33592	1.33327	1.33475	15635	0	6
2014.08.06	16:00:00	1.33477	1.33865	1.33466	1.33777	12606	0	6
2014.08.06	20:00:00	1.33776	1.33875	1.33739	1.33838	4285	0	6
2014.08.07	00:00:00	1.33836	1.33910	1.33787	1.33899	3823	0	6
2014.08.07	04:00:00	1.33900	1.33900	1.33801	1.33830	4526	0	6
2014.08.07	08:00:00	1.33831	1.33831	1.33647	1.33782	10764	0	6
2014.08.07	12:00:00	1.33785	1.33933	1.33419	1.33496	19385	0	6
2014.08.07	16:00:00	1.33495	1.33644	1.33367	1.33561	10326	0	6
2014.08.07	20:00:00	1.33561	1.33661	1.33548	1.33614	3573	0	6
2014.08.08	00:00:00	1.33613	1.33618	1.33432	1.33482	4118	0	6
2014.08.08	04:00:00	1.33483	1.33642	1.33454	1.33583	5774	0	6
2014.08.08	08:00:00	1.33583	1.34078	1.33583	1.33906	14892	0	6
